title,product_url,skuid,brand,category,price,price_tier,mo_sales,mo_revenue,market_share,model,oem_part_number,item_weight,weight_tier,product_dimensions,product_size_tier,country_of_origin,Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
denso 234-4445 oxygen sensor,https://www.amazon.com/Denso-234-4445-Oxygen-Sensor/dp/B001F7CFPU/ref=sr_1_92?dchild=1&keywords=sensor&qid=1633487027&s=automotive&sr=1-92,B001F7CFPU,Denso,sensors,48.78,0-50$,116,5658,0.331444331,OXYGEN SENSOR,,0.25,0-1pound,,,China,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acdelco 20910871 gm original equipment steering wheel position sensor,https://www.amazon.com/ACDelco-20910871-Original-Equipment-Steering/dp/B073ZRRSYY/ref=sr_1_93?dchild=1&keywords=sensor&qid=1633487027&s=automotive&sr=1-93,B073ZRRSYY,ACDelco,sensors,58.74,51-100$,183,10749,0.629673933,20910871,20910871,0.09875,0-1pound,4.1 x 3.1 x 2.4 inches,1-50sq.inch,Japan,Position sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
delphi ss10205 engine crankshaft position sensor,https://www.amazon.com/Delphi-SS10205-Engine-Crankshaft-Position/dp/B000CGK7HI/ref=sr_1_95?dchild=1&keywords=sensor&qid=1633487027&s=automotive&sr=1-95,B000CGK7HI,Delphi,sensors,42.99,0-50$,30,1290,0.075567902,,"12 14 1 709 616, SU5152, 5S1648, CSS905, 2131973, 180-0425, CSS9121, PC211, S10169, SE51331, 147-888, CSS905",0.3,0-1pound,4 x 2 x 5 inches,1-50sq.inch,Taiwan,Position sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new mass air flow sensor meter maf sensor compatible with nissan frontier pickup xterra 2.4l l4 fit afh55m-12 16017-1s710,https://www.amazon.com/Sensor-AFH55M-12-Compatible-Frontier-16017-1S710/dp/B07KS2DJSP/ref=sr_1_96?dchild=1&keywords=sensor&qid=1633487027&s=automotive&sr=1-96,B07KS2DJSP,Partschoice,sensors,24.99,0-50$,56,1399,0.081953096,,"AFH55M12 ,160171S710 ,160173S500 ,AFH55M-12 ,16017-1S710 ,16017-3S500",0.17,0-1pound,3.82 x 3.39 x 2.36 inches,1-50sq.inch,,Air flow sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wynnsky oxygen sensor remover set oxygen sensor & oil pressure sending unit master sensor socket set 7 pieces o2 sensor socket set,https://www.amazon.com/WYNNsky-Oxygen-Remover-Pressure-Sending/dp/B08T15FL47/ref=sr_1_97?dchild=1&keywords=sensor&qid=1633487027&s=automotive&sr=1-97,B08T15FL47,WYNNsky,sensors,26.48,0-50$,236,6249,0.366064974,,,4.53,2.1-5pound,10 x 8 x 2 inches,101-200sq.inch,,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
denso 234-4574 oxygen sensor,https://www.amazon.com/Denso-234-4574-Oxygen-Sensor/dp/B00FRM88DC/ref=sr_1_98?dchild=1&keywords=sensor&qid=1633487027&s=automotive&sr=1-98,B00FRM88DC,Denso,sensors,47.88,0-50$,45,2155,0.126239401,ACCESSORIES,,0.000625,0-1pound,,,USA,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dorman 911-753 throttle position sensor for select acura / honda models black,https://www.amazon.com/Dorman-911-753-Throttle-Position-Sensor/dp/B0042OX8WC/ref=sr_1_100?dchild=1&keywords=sensor&qid=1633487027&s=automotive&sr=1-100,B0042OX8WC,Dorman,sensors,23.79,0-50$,188,4473,0.262027305,TB SENSOR,C634, T42001 06164PM5A02, 06164PM5A52, 16400P06A01, 16400P06A11, 16400P06A61, 16400P07A00, 16400P0AA00, 16400P0AA10, 16400P0AA50, 16400P0AA60, 16400P0AL11, 16400P0AL61, 16400P0JL01, 16400P0JL51, 16400P12A00, 16400P12A50, 16400P14A00, 16400P14A50, 16400P28A01, 16400P28A61, 16400P2EA01, 16400P2EA51, 16400P2MA61, 16400P2MQ01, 16400P2MQ51, 16400P2PA51, 16400P2PA61, 16400P2TA01, 16400P30A01, 16400P5MA01, 16400P5MA51, 16400P72A01, 16400P73A01, 16400P75A01, 16400P75A51, 16400PG7A02, 16400PG7A12, 16400PHKA01, 16400PHKA51, 16400PM6308, 16400PM6A03, 16400PM8A03, 16400PR4A02, 16400PR4A52,0.15,0-1pound,,,USA,Position sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15510 oxygen sensor compatible with jeep mercedes benz chrysler dodge volkswagen mitsubishi oe fitment 15510 upstream downstream,https://www.amazon.com/Compatible-Mercedes-Volkswagen-Mitsubishi-Downstream/dp/B08D3DT9D4/ref=sr_1_99?dchild=1&keywords=sensor&qid=1633487050&s=automotive&sr=1-99,B08D3DT9D4,Apeixoto,sensors,20.99,0-50$,53,1112,0.065140703,,15510,0.2625,0-1pound,5.71 x 2.68 x 1.89 inches,1-50sq.inch,,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zbn upstream 234-9040 o2 oxygen air fuel ratio sensor compatible with honda accord 2003 2004 2005 2006 2007 2.4l,https://www.amazon.com/ZBN-Upstream-234-9040-Oxygen-Compatible/dp/B08JLR7GVY/ref=sr_1_100?dchild=1&keywords=sensor&qid=1633487050&s=automotive&sr=1-100,B08JLR7GVY,ZBN,sensors,42.99,0-50$,45,1935,0.113351852,,"234-9040, 2349040, 234 9040, 36531-RAA-A02, 36531RAAA02, 2132856, 36531-RAA-A01, 36531RAAA01 ,36531-RAA-A02, 36531RAAA02.",0.3,0-1pound,5.9 x 2.7 x 1.8 inches,1-50sq.inch,,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nifeida 13474 oxygen sensor oe fitment o2 sensor 1 sensor 2 upstream downstream auto parts fit 234-4018 afs106 replacement for buick cadillac pontiac oldsmobile gmc silverado tahoe 19178116,https://www.amazon.com/Upstream-Downstream-Replacement-Oldsmobile-Silverado/dp/B08KT273KR/ref=sr_1_101?dchild=1&keywords=sensor&qid=1633487050&s=automotive&sr=1-101,B08KT273KR,nifeida,sensors,18.99,0-50$,68,1291,0.075626481,13474 O2 sensors,"Replacement for 13474, 234-4018, 213-1331, 213-3538, 21539, SG272, ES20001, AFS106, AFS109, OS823，19178116, 19178935, 19178945, 19178958",0.24875,0-1pound,5.6 x 2.6 x 1.4 inches,1-50sq.inch,,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kax 3/8-inch drive 7/8-inch (22 mm) offset oxygen sensor socket wire gate accesses o2 sensor from the side o2 sensor socket prevents damage to wires all vehicle o2 sensor removal and installation,https://www.amazon.com/KAX-Accesses-Prevents-Vehicle-Installation/dp/B08JZ3M9XN/ref=sr_1_102?dchild=1&keywords=sensor&qid=1633487050&s=automotive&sr=1-102,B08JZ3M9XN,KAX,sensors,8.69,0-50$,439,3815,0.223481817,,,0.41875,0-1pound,5.04 x 2.83 x 1.93 inches,1-50sq.inch,,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kax 250-24649 oxygen sensor original equipment replacement 250-24649 heated o2 sensor 1pcs,https://www.amazon.com/KAX-250-24649-Equipment-Replacement-Downstream/dp/B087NLJMJR/ref=sr_1_103?dchild=1&keywords=sensor&qid=1633487050&s=automotive&sr=1-103,B087NLJMJR,KAX,sensors,24.99,0-50$,26,650,0.03807685,,,0.35,0-1pound,6.1 x 2.5 x 2.2 inches,1-50sq.inch,,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
denso 234-4168 downstream oxygen sensor with 4-wire 13.7 harness,https://www.amazon.com/Denso-234-4168-Oxygen-Sensor/dp/B000IYBF6Q/ref=sr_1_104?dchild=1&keywords=sensor&qid=1633487050&s=automotive&sr=1-104,B000IYBF6Q,Denso,sensors,49.85,0-50$,75,3739,0.219029755,OXYGEN SENSOR,234-4168,0.2625,0-1pound,,,China,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kax 234-4296 234-4309 oxygen sensor 250-24452 250-24403 13675 sg1306 heated o2 sensor original equipment replacement set of 2,https://www.amazon.com/KAX-Downstream-250-24452-250-24403-Replacement/dp/B08D3HD71Q/ref=sr_1_107?dchild=1&keywords=sensor&qid=1633487050&s=automotive&sr=1-107,B08D3HD71Q,KAX,sensors,21.99,0-50$,36,792,0.046395177,234-4296 234-4309,"226918U000 ,226908J010 ,226908J001 ,226902A000, 226A08J010, 226A08J001, 234-4296 ,234-4309 ,250-24452 ,250-24403 ,13675 ,SG1306",0.64375,0-1pound,6.61 x 4.76 x 2.48 inches,51-100sq.inch,,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scitoo 234-4099 sg1861 oxygen sensor fit 2001 2002 2003 2004 2005 for honda civic sedan coupe 1.7l sg336 heated o2 sensor 1 sensor 2 upstream downstream 2pcs,https://www.amazon.com/SCITOO-Oxygen-Upstream-Downstream-2001-2005/dp/B06XDBVGBR/ref=sr_1_110?dchild=1&keywords=sensor&qid=1633487050&s=automotive&sr=1-110,B06XDBVGBR,SCITOO,sensors,48.79,0-50$,30,1464,0.085760781,,SG336 SG1861,0.33125,0-1pound,5.71 x 3.54 x 2.56 inches,51-100sq.inch,,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oyeauto mass air flow sensor 3l3a-12b579-ba compatible with ford e150 e250 e350 for f150 f250 for lincolnfor mercury,https://www.amazon.com/OYEAUTO-3L3A-12B579-BA-Compatible-Lincoln-Mercury/dp/B08ZN72QM8/ref=sr_1_113?dchild=1&keywords=sensor&qid=1633487050&s=automotive&sr=1-113,B08ZN72QM8,OYEAUTO,sensors,20.99,0-50$,120,2519,0.147562437,,,0.149375,0-1pound,3.82 x 3.27 x 2.44 inches,1-50sq.inch,,Air flow sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kax oxygen sensor 250-24018 fit for silverado 1500 tahoe k1500 sierra 1500 impala c1500 suburban 1500 avalanche 1500 o2 sensor replacement,https://www.amazon.com/KAX-Equipment-Replacement-250-24018-Downstream/dp/B084P4CNGP/ref=sr_1_114?dchild=1&keywords=sensor&qid=1633487050&s=automotive&sr=1-114,B084P4CNGP,KAX,sensors,19.99,0-50$,38,760,0.044520624,,,0.36875,0-1pound,6 x 2.4 x 2.1 inches,1-50sq.inch,,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autel tpms sensor 315mhz 433mhz 2in1 mx-sensor tps218 tire pressure monitoring system sensor cloneable wireless programming replace 98% of oe sensor sae strandard j1205/j1206,https://www.amazon.com/Autel-MX-Sensor-TPS218-Monitoring-Programming/dp/B089FXXKT4/ref=sr_1_115?dchild=1&keywords=sensor&qid=1633487050&s=automotive&sr=1-115,B089FXXKT4,Autel,sensors,119.99,101-200$,30,3600,0.210887167,MX-Sensor TPS218,,0.33125,0-1pound,1.67 x 0.84 x 0.63 inches,1-50sq.inch,,Pressure sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mostplus o2 oxygen sensor compatible with 03 04 05 gmc sierra 1500 5.3l 15284 sg1857 (set of 4),https://www.amazon.com/MOSTPLUS-Oxygen-Sensor-Sierra-SG1857/dp/B0778NCXPP/ref=sr_1_116?dchild=1&keywords=sensor&qid=1633487050&s=automotive&sr=1-116,B0778NCXPP,MOSTPLUS,sensors,57.88,51-100$,187,10824,0.634067416,,234-4668 15284 21546 SG1857,0.9875,0-1pound,8.74 x 6.06 x 1.73 inches,51-100sq.inch,,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
denso 234-4623 oxygen sensor,https://www.amazon.com/Denso-234-4623-Oxygen-Sensor/dp/B000C5WCUO/ref=sr_1_119?dchild=1&keywords=sensor&qid=1633487050&s=automotive&sr=1-119,B000C5WCUO,Denso,sensors,42.18,0-50$,263,11093,0.649825374,OXYGEN SENSOR,234-4623,0.2625,0-1pound,,,China,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a27678xupstream and downstream oxygen o2 sensor 1 and sensor 2 234-4076 234-4078 for jeep cherokee grand cherokee wrangler 4.0l,https://www.amazon.com/Upstream-Downstream-234-4076-234-4078-Cherokee/dp/B07C3KB7FJ/ref=sr_1_120?dchild=1&keywords=sensor&qid=1633487050&s=automotive&sr=1-120,B07C3KB7FJ,A ABIGAIL,sensors,43.99,0-50$,97,4267,0.249959873,,56041344AD,0.4375,0-1pound,7.87 x 0.79 x 1.18 inches,1-50sq.inch,,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kax oxygen sensor 250-24253 fit for grand cherokee ram 1500 cherokee wrangler grand caravan o2 sensor replacement,https://www.amazon.com/KAX-Equipment-Replacement-250-24253-Downstream/dp/B084NZD1XM/ref=sr_1_121?dchild=1&keywords=sensor&qid=1633487050&s=automotive&sr=1-121,B084NZD1XM,KAX,sensors,19.99,0-50$,45,900,0.052721792,,,0.2875,0-1pound,6 x 2.3 x 2.1 inches,1-50sq.inch,,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
denso 234-4621 oxygen sensor,https://www.amazon.com/Denso-234-4621-Oxygen-Sensor/dp/B000C5YCUM/ref=sr_1_122?dchild=1&keywords=sensor&qid=1633487050&s=automotive&sr=1-122,B000C5YCUM,Denso,sensors,23.79,0-50$,263,6257,0.366533612,OXYGEN SENSOR,234-4621,0.2625,0-1pound,,,China,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oyeauto wideband o2 oxygen sensor 17025 0258017025 lsu4.9 for aem 30-4110 30-0300 30-0310 - x seriesuego a/f ratio wideband,https://www.amazon.com/OYEAUTO-WideBand-0258017025-30-4110-30-0300/dp/B08Y6PCYPG/ref=sr_1_123?dchild=1&keywords=sensor&qid=1633487050&s=automotive&sr=1-123,B08Y6PCYPG,OYEAUTO,sensors,33.99,0-50$,73,2481,0.145336406,,,0.4,0-1pound,3.98 x 3.31 x 2.44 inches,1-50sq.inch,,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
motorcraft dy992 oxygen sensor,https://www.amazon.com/Motorcraft-DY992-Oxygen-Sensor/dp/B000IYFIJ6/ref=sr_1_124?dchild=1&keywords=sensor&qid=1633487050&s=automotive&sr=1-124,B000IYFIJ6,Motorcraft,sensors,52.41,51-100$,40,2096,0.122783195,,DY992,0.6,0-1pound,2.07 x 2.08 x 5.78 inches,1-50sq.inch,,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mostplus mass air flow sensor maf compatible for buick chevrolet cadillac gmc isuzu saturn hummer su15246 17576410,https://www.amazon.com/MOSTPLUS-AFH70M43-15865791-12576410-5S13840/dp/B07KLY3BQT/ref=sr_1_123?dchild=1&keywords=sensor&qid=1633487078&s=automotive&sr=1-123,B07KLY3BQT,MOSTPLUS,sensors,20.99,0-50$,79,1658,0.097125256,,"15865791, 12576410, 5S13840, AF10142, 917-858, 917858, MF16410, SU15246, AFH70M-43, AFH70-M43, AFH70M43",0.149375,0-1pound,4.37 x 2.83 x 2.17 inches,1-50sq.inch,,Air flow sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manifold absolute air pressure map sensor 56029405 as88 fits dodge b1500 b2500 b3500 dakota durango ram 1500 2500 3500 pickup van jeep grand cherokee wrangler,https://www.amazon.com/YCT-Manifold-Absolute-Pressure-56029405/dp/B07JW6KVKB/ref=sr_1_125?dchild=1&keywords=sensor&qid=1633487078&s=automotive&sr=1-125,B07JW6KVKB,YCT,sensors,12.99,0-50$,199,2585,0.151428702,,,0.35,0-1pound,2.99 x 2.2 x 1.42 inches,1-50sq.inch,,Pressure sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tekton 3/8 inch drive x 7/8 inch 6-point oxygen sensor socket | 4929,https://www.amazon.com/TEKTON-4929-8-Inch-Oxygen-Sensor/dp/B000NPUKIE/ref=sr_1_126?dchild=1&keywords=sensor&qid=1633487078&s=automotive&sr=1-126,B000NPUKIE,TEKTON,sensors,10,0-50$,1961,19610,1.148749263,,,0.525,0-1pound,5.75 x 1.75 x 2 inches,1-50sq.inch,Taiwan,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kax 234-9008 oxygen sensor 234-9049 250-54007 heated o2 sensor upstream sensor 1 original equipment replacement 1pcs,https://www.amazon.com/KAX-234-9008-250-54007-Equipment-Replacement/dp/B08D2ZJZGN/ref=sr_1_127?dchild=1&keywords=sensor&qid=1633487078&s=automotive&sr=1-127,B08D2ZJZGN,KAX,sensors,69.99,51-100$,34,2380,0.139419849,,234-9049 234-9008 89467-07030,0.4,0-1pound,6.22 x 2.28 x 2.28 inches,1-50sq.inch,,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zbn oxygen sensor o2 sensor 15717 1571615718 15719 compatible with ford ranger mustang expedition explorer escape f150 mazda tribute mercury aston martin lincoln,https://www.amazon.com/ZBN-ZZC318861-XR3Z9G444CA-Expedition-Explorer/dp/B07X1RCRQ4/ref=sr_1_128?dchild=1&keywords=sensor&qid=1633487078&s=automotive&sr=1-128,B07X1RCRQ4,ZBN,sensors,17.99,0-50$,51,917,0.053717648,,,0.3,0-1pound,5.8 x 2.6 x 1.8 inches,1-50sq.inch,,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ensun 31935-8e006 automatic transmission input/output/vehicle speed sensor,https://www.amazon.com/31935-8E006-Automatic-Transmission-Output-Vehicle/dp/B07CJ431KY/ref=sr_1_129?dchild=1&keywords=sensor&qid=1633487078&s=automotive&sr=1-129,B07CJ431KY,Ensun,sensors,19.95,0-50$,37,738,0.043231869,,"31935-8E002, 319358E002, 31935-8E004, 319358E004, 31935-8E006, 319358E006",0.068125,0-1pound,3.27 x 2.44 x 1.69 inches,1-50sq.inch,,Speed sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
higherbro 2pcs oxygen o2 sensor for 2005 2006 honda cr-v crv 2.4l upstream + downstream,https://www.amazon.com/higherbro-Oxygen-Sensor-Upstream-Downstream/dp/B088ND2MQC/ref=sr_1_130?dchild=1&keywords=sensor&qid=1633487078&s=automotive&sr=1-130,B088ND2MQC,higherbro,sensors,79.99,51-100$,39,3120,0.182768878,,,0.59375,0-1pound,6.22 x 4.8 x 2.24 inches,51-100sq.inch,,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
