title,product_url,skuid,brand,category,price,price_tier,mo_sales,mo_revenue,market_share,model,oem_part_number,item_weight,weight_tier,product_dimensions,product_size_tier,country_of_origin,blade_type,size,blade_size_tier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rear wiper blade aslam 12e rear windshield wiper blades type-e for original equipment replacement exact fit(pack of 2),https://www.amazon.com/ASLAM-Windshield-Original-Equipment-Replacement/dp/B07FZ4TD1V/ref=sr_1_46?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496737&s=automotive&sr=1-46&ts_id=15734861,B07FZ4TD1V,ASLAM,wiper blades,11.99,0-50$,3330,39927,0.282846644228978,,,0.3,0-1pound,12.6 x 2.2 x 1 inches,1-50sq.inch,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trico platinum 26 inch & 17 inch pack of 2 high performance automotive replacement windshield wiper blades for my car (25-2617),https://www.amazon.com/TRICO-Black-Performance-Premium-Blades/dp/B0843D648D/ref=sr_1_47?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496737&s=automotive&sr=1-47&ts_id=15734861,B0843D648D,Trico,wiper blades,35.9,0-50$,203,7288,0.051628881286868,TRICO Platinum,,1.15,1.1-2pound,30.5 x 6 x 1.25 inches,2011-500sq.inch,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain-x - 810161 latitude water repellency wiper blade combo pack 26 and 18,https://www.amazon.com/Rain-X-Latitude-Water-Repellency-Wiper/dp/B084D4Y5F5/ref=sr_1_48?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496737&s=automotive&sr=1-48&ts_id=15734861,B084D4Y5F5,Rain-X,wiper blades,31.99,0-50$,21177,677452,4.79913404027875,"Rain-X Latitude Water Repellency Wiper Blade Combo Pack 26"" and 18""",,1.23,1.1-2pound,30.5 x 6.38 x 1.25 inches,2011-500sq.inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain-x 5079276-1 latitude wiper blade - 19' (pack of 1),https://www.amazon.com/Rain-X-5079276-1-19-Inch-Beam/dp/B00FRHOI86/ref=sr_1_49?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496737&s=automotive&sr=1-49&ts_id=15734861,B00FRHOI86,Rain-X,wiper blades,13,0-50$,887,11531,0.081686694582722,5079276-1,5079276-1,0.3,0-1pound,17 x 2.2 x 2.6 inches,51-100sq.inch,Mexico,,19',16-20inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain-x 5079274-2 latitude 2-in-1 water repellency wiper blade 16' (pack of 1),https://www.amazon.com/Rain-X-5079274-2-Latitude-Water-Repellency/dp/B015JTJM0U/ref=sr_1_50?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496737&s=automotive&sr=1-50&ts_id=15734861,B015JTJM0U,Rain-X,wiper blades,15.27,0-50$,10235,156288,1.10715897345802,5079274-2,,0.3,0-1pound,1.1 x 2.6 x 16 inches,1-50sq.inch,,,16',16-20inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oem quality 26' + 18' premium all-seasons durable stable and quiet windshield wiper blades(set of 2),https://www.amazon.com/QUALITY-Premium-All-Seasons-Durable-Windshield/dp/B08BHRCCGG/ref=sr_1_51?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496737&s=automotive&sr=1-51&ts_id=15734861,B08BHRCCGG,EMITHSUN,wiper blades,17.88,0-50$,6294,112537,0.797222751561511,,"Bosch ICON Beam, Michelin Stealth, Rain-X Expert Fit, Rain-X Latitude, Rain-X Quantum",1.5,1.1-2pound,17.7 x 13.9 x 1.2 inches,2011-500sq.inch,,all-season,26',26-30inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trico white 26 inch & 17 inch pack of 2 extreme weather winter automotive replacement windshield wiper blades for my car (35-2617),https://www.amazon.com/TRICO-Extreme-Weather-Winter-Blades/dp/B0843CQFTF/ref=sr_1_52?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496737&s=automotive&sr=1-52&ts_id=15734861,B0843CQFTF,Trico,wiper blades,23.92,0-50$,72,1722,0.012198810863884,TRICO White,,1.15,1.1-2pound,30.5 x 6 x 1.25 inches,2011-500sq.inch,Mexico,winter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oem quality 22' + 19' parrati premium all-season windshield wiper blades (set of 2),https://www.amazon.com/QUALITY-PARRATI-Premium-All-Season-Windshield/dp/B0894F1GF2/ref=sr_1_51?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496768&s=automotive&sr=1-51&ts_id=15734861,B0894F1GF2,PARRATI,wiper blades,16.66,0-50$,5130,85466,0.605449227231543,,"Bosch ICON Beam, Michelin Stealth, Rain-X Expert Fit, Rain-X Latitude, Rain-X Quantum",0.8375,0-1pound,,,,all-season,22',21-25inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
michelin 9516 rear windshield wiper blade - new and improved 16' (pack of 1),https://www.amazon.com/Michelin-9516-Windshield-Wiper-Blade/dp/B00COE3ZCK/ref=sr_1_52?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496768&s=automotive&sr=1-52&ts_id=15734861,B00COE3ZCK,MICHELIN,wiper blades,12.95,0-50$,1523,19723,0.139719597368401,9516,,0.8,0-1pound,16 x 2.88 x 1.25 inches,51-100sq.inch,China,,16',16-20inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heeteco 24' + 20' 1-he wiper bladespremium all-seasons durable stable and quiet front windshield wipers for original equipment replacement (pack of 2),https://www.amazon.com/HEETECO-1-HE-All-Seasons-Windshield-Replacement/dp/B094C1FK2Y/ref=sr_1_53?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496768&s=automotive&sr=1-53&ts_id=15734861,B094C1FK2Y,HEETECO,wiper blades,14.99,0-50$,1410,21136,0.149729423007581,,,0.93125,0-1pound,17.56 x 13.62 x 1.18 inches,2011-500sq.inch,,all-season,24',21-25inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trico gold 26 & 17 inch pack of 2 automotive replacement windshield wiper blades for my car (18-2617),https://www.amazon.com/TRICO-Gold-Weather-Wiper-Blades/dp/B0843D1SL9/ref=sr_1_54?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496768&s=automotive&sr=1-54&ts_id=15734861,B0843D1SL9,Trico,wiper blades,25.07,0-50$,124,3109,0.022024450044028,TRICO Gold,,0.96875,0-1pound,30.5 x 6 x 1.25 inches,2011-500sq.inch,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oem quality emithsun 20' + 20' premium all-seasons durable stable and quiet windshield wiper blades with extra rubber refill (set of 2),https://www.amazon.com/QUALITY-EMITHSUN-Premium-All-Seasons-Windshield/dp/B08H2BSXM7/ref=sr_1_55?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496768&s=automotive&sr=1-55&ts_id=15734861,B08H2BSXM7,EMITHSUN,wiper blades,16.99,0-50$,1050,17840,0.126380247277405,,,0.88125,0-1pound,16.93 x 13.39 x 1.18 inches,2011-500sq.inch,,all-season,20',16-20inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
motium oem quality 22' + 22' premium all-season windshield wiper blades (set of 2),https://www.amazon.com/MOTIUM-QUALITY-All-Season-Windshield-Warranty/dp/B07BB7F68L/ref=sr_1_56?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496768&s=automotive&sr=1-56&ts_id=15734861,B07BB7F68L,MOTIUM,wiper blades,16.99,0-50$,8371,142223,1.00752118321381,,"Bosch ICON Beam, Michelin Stealth, Rain-X Expert Fit, Rain-X Latitude, Rain-X Quantum",0.75,0-1pound,22 x 2 x 1 inches,1-50sq.inch,China,all-season,22',21-25inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bosch rear wiper blade a332h/3397008635 original equipment replacement- 13' (pack of 1),https://www.amazon.com/Bosch-A332H-3397008635-Equipment-Replacement/dp/B00AEBFTPQ/ref=sr_1_57?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496768&s=automotive&sr=1-57&ts_id=15734861,B00AEBFTPQ,BOSCH,wiper blades,12.9,0-50$,466,6011,0.042582492510341,,8R0 955 425,0.088125,0-1pound,0.4 x 0.87 x 6.14 inches,1-50sq.inch,,,13',10-15inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trico gold 24 & 18 inch pack of 2 automotive replacement windshield wiper blades for my car (18-2418),https://www.amazon.com/TRICO-Gold-Weather-Wiper-Blades/dp/B0843D22H3/ref=sr_1_58?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496768&s=automotive&sr=1-58&ts_id=15734861,B0843D22H3,Trico,wiper blades,21.65,0-50$,300,6495,0.046011194286253,TRICO Gold,,0.9,0-1pound,24.5 x 6 x 1.25 inches,101-200sq.inch,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trico gold 22 & 20 inch pack of 2 automotive replacement windshield wiper blades for my car (18-2220),https://www.amazon.com/TRICO-Gold-Weather-Wiper-Blades/dp/B0843D65JX/ref=sr_1_59?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496768&s=automotive&sr=1-59&ts_id=15734861,B0843D65JX,Trico,wiper blades,26.9,0-50$,300,8070,0.057168643247122,TRICO Gold,,0.95,0-1pound,24.5 x 6 x 1.25 inches,101-200sq.inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oem quality 26''+16'' premium all-season auto windshield natural rubber j-hook wiper blades(pack of 2),https://www.amazon.com/VTOGOI-Quality-Premium-All-Season-Windshield/dp/B08PF72357/ref=sr_1_60?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496768&s=automotive&sr=1-60&ts_id=15734861,B08PF72357,VTOGOI,wiper blades,16.99,0-50$,4800,81552,0.57772208105196,,"Bosch ICON Beam, Michelin Stealth, Rain-X Expert Fit, Rain-X Latitude, Rain-X Quantum",0.81875,0-1pound,17.72 x 13.82 x 1.22 inches,2011-500sq.inch,,all-season,26',26-30inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aero voyager 26' + 18' premium all-season oem quality windshield wiper blades with extra rubber refill + 1 year warranty (set of 2),https://www.amazon.com/QUALITY-AERO-Premium-All-Season-Windshield/dp/B01CLNIMHQ/ref=sr_1_61?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496768&s=automotive&sr=1-61&ts_id=15734861,B01CLNIMHQ,AERO,wiper blades,16.99,0-50$,4617,78443,0.555697631007932,,"Michelin Stealth, Rain-X Expert Fit, Rain-X Latitude, Rain-X Quantum",0.75,0-1pound,26 x 1 x 1 inches,1-50sq.inch,,all-season,26',26-30inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
motorcraft ww-2803 wiper blade,https://www.amazon.com/Motorcraft-WW-2803-Beam/dp/B0080DVMJ2/ref=sr_1_62?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496768&s=automotive&sr=1-62&ts_id=15734861,B0080DVMJ2,Motorcraft,wiper blades,16.28,0-50$,83,1351,0.009570611775324,WW-2803,WW*2803*,0.5,0-1pound,28 x 3.4 x 2.3 inches,2011-500sq.inch,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain-x 5079273-2 2-in-1 latitude water repellency wiper blade 15-inch 1 pack,https://www.amazon.com/Rain-X-5079273-2-Latitude-Repellency-15-Inch/dp/B07BCY68B9/ref=sr_1_65?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496768&s=automotive&sr=1-65&ts_id=15734861,B07BCY68B9,Rain-X,wiper blades,15.27,0-50$,10758,164275,1.16373963685514,Rain-X 5079273-2 2-in-1 Latitude Water Repellency Wiper Blade 15-Inch,,0.3,0-1pound,15 x 1.8 x 0.6 inches,1-50sq.inch,"Korea, Republic of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain-x 5079275-1 latitude wiper blade - 18' (pack of 1),https://www.amazon.com/Rain-X-5079275-1-18-Inch-Beam/dp/B00D8NAD1M/ref=sr_1_66?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496768&s=automotive&sr=1-66&ts_id=15734861,B00D8NAD1M,Rain-X,wiper blades,14.18,0-50$,1073,15215,0.107784499009289,5079275-1,5079275-1,0.3,0-1pound,16 x 2.2 x 2.6 inches,51-100sq.inch,Mexico,,18',16-20inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meto t6 silicone windshield wiper blades 24 and 19 inches (set of 2),https://www.amazon.com/Wiper-Blade-METO-Windshield-Repellency/dp/B07D7QMTHL/ref=sr_1_67?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496768&s=automotive&sr=1-67&ts_id=15734861,B07D7QMTHL,METO,wiper blades,25.99,0-50$,727,18895,0.133853967057543,,,1.25,1.1-2pound,30.25 x 2.05 x 1.88 inches,101-200sq.inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trico white 26 inch & 22 inch pack of 2 extreme weather winter automotive replacement windshield wiper blades for my car (35-2622),https://www.amazon.com/TRICO-Extreme-Weather-Winter-Blades/dp/B0843CWC7C/ref=sr_1_68?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496768&s=automotive&sr=1-68&ts_id=15734861,B0843CWC7C,Trico,wiper blades,25.13,0-50$,105,2639,0.018694925592213,TRICO White,,1.15,1.1-2pound,30.5 x 6 x 1.25 inches,2011-500sq.inch,Mexico,winter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
motorcraft ww2601 ww-2601 wiper blade assembly,https://www.amazon.com/Motorcraft-WW-2601-Wiper-Blade-Assembly/dp/B00J5DXEBK/ref=sr_1_69?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496768&s=automotive&sr=1-69&ts_id=15734861,B00J5DXEBK,Motorcraft,wiper blades,12.76,0-50$,77,983,0.006963664970498,WW-2601,WW*2601*,0.3,0-1pound,23.15 x 2.29 x 3.35 inches,101-200sq.inch,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aeciwell windshield wipers oem quality 18' + 18' premium all-season wiper blades automotive replacement windshield wiper blades for u/j hook (set of 2),https://www.amazon.com/AECIWELL-Windshield-All-Season-Automotive-Replacement/dp/B096M7F1GB/ref=sr_1_70?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496768&s=automotive&sr=1-70&ts_id=15734861,B096M7F1GB,AECIWELL,wiper blades,15.99,0-50$,553,8842,0.062637564261593,,"Bosch ICON Beam, Michelin Stealth, Rain-X Expert Fit, Rain-X Latitude, Rain-X Quantum",0.80625,0-1pound,17 x 13.5 x 1 inches,2011-500sq.inch,,all-season,18',16-20inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trico ice 35-160 extreme weather winter wiper blade - 16',https://www.amazon.com/Trico-35-160-Extreme-Winter-Wiper/dp/B009M08U1A/ref=sr_1_71?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496768&s=automotive&sr=1-71&ts_id=15734861,B009M08U1A,Trico,wiper blades,9.97,0-50$,1914,19083,0.135185776838269,35-160,35-160,0.000625,0-1pound,21.75 x 2.56 x 1 inches,51-100sq.inch,,winter,16',16-20inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 wipers factory fits 07-13 chevrolet avalanche silverado suburban gmc sierra yukon cadillac escalade ext esv 05-18 mercedes-benz slkslc original equipment wiper blade set - 22'+22' pinch tab,https://www.amazon.com/Chevrolet-Avalanche-SilveradoTahoe-Suburban-Mercedes-Benz/dp/B07PLKJY6Y/ref=sr_1_72?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496768&s=automotive&sr=1-72&ts_id=15734861,B07PLKJY6Y,ANRDDO,wiper blades,23.99,0-50$,1627,39032,0.276506379581372,,"25877402, A1718202500",0.7875,0-1pound,17.63 x 13.94 x 1.18 inches,2011-500sq.inch,,,22',21-25inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
windshield wipers 24' + 24 wiper blades oem quality luteus premium all- seasons for replacement windshield wiper blades (set of 2) with extra 1pc premium microfiber towels,https://www.amazon.com/Windshield-Quality-LUTEUS-Replacement-Microfiber/dp/B08QJJRLJP/ref=sr_1_73?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496768&s=automotive&sr=1-73&ts_id=15734861,B08QJJRLJP,LUTEUS,wiper blades,20.99,0-50$,1020,21410,0.151670464922043,LTS-A,"Bosch ICON Beam, Michelin Stealth, Rain-X Expert Fit, Rain-X Latitude, Rain-X Quantum",1.1,1.1-2pound,13.4 x 17.3 x 1.2 inches,2011-500sq.inch,,,24',21-25inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain-x 5079277-1 latitude wiper blade - 20' (pack of 1),https://www.amazon.com/Rain-X-5079277-1-20-Inch-Beam/dp/B00FRHOGU6/ref=sr_1_74?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496768&s=automotive&sr=1-74&ts_id=15734861,B00FRHOGU6,Rain-X,wiper blades,19.99,0-50$,859,17171,0.121640988004503,5079277-1,5079277-1,0.3,0-1pound,18 x 2.2 x 2.6 inches,101-200sq.inch,Mexico,,20',16-20inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trico exact fit 14 inch pack of 1 rear wiper blade for car (14-a) original version,https://www.amazon.com/Trico-Exact-Rear-Wiper-Blade/dp/B001KS6FPK/ref=sr_1_75?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496768&s=automotive&sr=1-75&ts_id=15734861,B001KS6FPK,Trico,wiper blades,8.75,0-50$,355,3106,0.022003197760293,,,1,0-1pound,22 x 2.5 x 1 inches,51-100sq.inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain-x r14a r14a conventional,https://www.amazon.com/Rain-X-R14A-Conventional/dp/B00IPS3JC0/ref=sr_1_76?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496768&s=automotive&sr=1-76&ts_id=15734861,B00IPS3JC0,Rain-X,wiper blades,25.07,0-50$,533,13362,0.094657671755644,850007,,0.0014375,0-1pound,20 x 4.62 x 2.75 inches,2011-500sq.inch,,conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 factory wiper replacement for ford escape 2013-2020 edge 2015-2020 foucs 2012-2018 fusion 2013-2019 original equipment front windshield wiper blade - pinch tab 28'/28' (set of 2),https://www.amazon.com/Replacement-2013-2020-2015-2020-2012-2018-Windshield/dp/B098Q9VNDK/ref=sr_1_75?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496823&s=automotive&sr=1-75&ts_id=15734861,B098Q9VNDK,ZIXMMO,wiper blades,22.99,0-50$,308,7081,0.050162473709154,,,0.9875,0-1pound,17.91 x 13.86 x 2.13 inches,501-1000sq.inch,,,28',26-30inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trico 25-220 force beam wiper blade 22' pack of 1,https://www.amazon.com/Trico-25-220-Force-Wiper-Blade/dp/B005WTPC4S/ref=sr_1_76?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496823&s=automotive&sr=1-76&ts_id=15734861,B005WTPC4S,Trico,wiper blades,11.97,0-50$,1183,14161,0.10031786332373,Trico Force Wiper Blade 22 Inch,25-220,0.4,0-1pound,25.8 x 2.6 x 1.6 inches,101-200sq.inch,,beam,22',21-25inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bosch aerotwin front windshield wiper blade pair 650/400mm 26 16 a945s,https://www.amazon.com/BOSCH-Aerotwin-Front-Windshield-Wiper/dp/B00L7YHJY8/ref=sr_1_77?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496823&s=automotive&sr=1-77&ts_id=15734861,B00L7YHJY8,BOSCH,wiper blades,28.9,0-50$,30,867,0.006141909999412,,"DENSO:DF-073,VALEO:VM843,VALEO:VF843,VALEO:577843,SWF:119 271",0.41875,0-1pound,1.97 x 1.57 x 30.71 inches,51-100sq.inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain-x 5079282-1 latitude wiper blade - 28' (pack of 1),https://www.amazon.com/Rain-X-5079282-1-28-Inch-Beam/dp/B00DGVX3YK/ref=sr_1_78?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496823&s=automotive&sr=1-78&ts_id=15734861,B00DGVX3YK,Rain-X,wiper blades,19.9,0-50$,937,18646,0.132090027507539,5079282-1,5079282-1,0.6,0-1pound,28 x 2.2 x 2.6 inches,101-200sq.inch,,,28',26-30inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trico platinum 28 inch & 14 inch pack of 2 high performance automotive replacement windshield wiper blades for my car (25-2814),https://www.amazon.com/TRICO-Black-Performance-Premium-Blades/dp/B0843CQ9G4/ref=sr_1_79?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496823&s=automotive&sr=1-79&ts_id=15734861,B0843CQ9G4,Trico,wiper blades,32.15,0-50$,30,965,0.006836151268088,TRICO Platinum,,1.05,1.1-2pound,30.5 x 6 x 1.25 inches,2011-500sq.inch,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trico white 26 inch & 16 inch pack of 2 extreme weather winter automotive replacement windshield wiper blades for my car (35-2616),https://www.amazon.com/TRICO-Extreme-Weather-Winter-Blades/dp/B0843D4FZW/ref=sr_1_80?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496823&s=automotive&sr=1-80&ts_id=15734861,B0843D4FZW,Trico,wiper blades,22.74,0-50$,317,7209,0.05106923781518,TRICO White,,1.5,1.1-2pound,30.5 x 6 x 1.25 inches,2011-500sq.inch,Mexico,winter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trico exact fit 12 inch pack of 1 rear wiper blade for car (12-a),https://www.amazon.com/Trico-Exact-Rear-Wiper-Blade/dp/B001KS2PXQ/ref=sr_1_81?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496823&s=automotive&sr=1-81&ts_id=15734861,B001KS2PXQ,Trico,wiper blades,8.79,0-50$,1085,9537,0.067561009993532,Exact-Fit Rear Wiper Blade - 12 Inch,12-A,0.2,0-1pound,22 x 2.5 x 1 inches,51-100sq.inch,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trico platinum 26 inch & 19 inch pack of 2 high performance automotive replacement windshield wiper blades for my car (25-2619),https://www.amazon.com/TRICO-Black-Performance-Premium-Blades/dp/B0843CQDS4/ref=sr_1_82?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496823&s=automotive&sr=1-82&ts_id=15734861,B0843CQDS4,Trico,wiper blades,35.9,0-50$,103,3698,0.026196981750664,TRICO Platinum,,1.15,1.1-2pound,30.5 x 6 x 1.25 inches,2011-500sq.inch,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bosch rear wiper blade a282h/3397008634 original equipment replacement- 11' (pack of 1),https://www.amazon.com/Bosch-A282H-3397008634-Equipment-Replacement/dp/B0042ETBEQ/ref=sr_1_83?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496823&s=automotive&sr=1-83&ts_id=15734861,B0042ETBEQ,BOSCH,wiper blades,12.5,0-50$,814,10175,0.072080662334507,,"AUDI%510955427, AUDI%5K6955427A, SEAT%510955427, SEAT%5G9955427",0.099375,0-1pound,0.4 x 0.81 x 10.63 inches,1-50sq.inch,,,11',10-15inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bosch 21' icon wiper blade (2 pack),https://www.amazon.com/Bosch-ICON-Wiper-Blade-Pack/dp/B01GEZTI3Y/ref=sr_1_84?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496823&s=automotive&sr=1-84&ts_id=15734861,B01GEZTI3Y,Bosch Automotive,wiper blades,40.15,0-50$,30,1205,0.008536333966888,,,0.12,0-1pound,,,,,21',21-25inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rear windshield wiper blade replacement for 01-12 toyota rav4/01-19 toyota highlanderdodge journeyjeep grand cheerokeelexus gx460lx570scinon xamazda rear wiper blade-factory oem style,https://www.amazon.com/Rooppa-20-rear-wiper-kit/dp/B08CRLL7GH/ref=sr_1_85?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496823&s=automotive&sr=1-85&ts_id=15734861,B08CRLL7GH,Rooppa,wiper blades,9.99,0-50$,283,2827,0.020026735372939,,3397011429,0.22875,0-1pound,13.66 x 2.28 x 0.98 inches,1-50sq.inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
motium 24'+22' super silicone windshield wiper blades fit for j hook wiper arms (set of 2),https://www.amazon.com/MOTIUM-Silicone-Windshield-Blades-Warranty/dp/B085BLZB16/ref=sr_1_86?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496823&s=automotive&sr=1-86&ts_id=15734861,B085BLZB16,MOTIUM,wiper blades,22.99,0-50$,720,16553,0.117263017555095,,,0.8,0-1pound,26.4 x 2.3 x 2 inches,101-200sq.inch,China,,24',21-25inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
michelin 8526 stealth ultra windshield wiper blade with smart technology 26' (pack of 1),https://www.amazon.com/Michelin-8526-Stealth-Windshield-Technology/dp/B00DYSDSJU/ref=sr_1_89?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496823&s=automotive&sr=1-89&ts_id=15734861,B00DYSDSJU,MICHELIN,wiper blades,21.41,0-50$,2650,56737,0.401930274090703,8526,,0.65,0-1pound,26 x 3 x 1 inches,51-100sq.inch,China,,26',26-30inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
